Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
IJEXUR_CoRE,IJEXUR,CoRE,Real,Crystallographic properties,1.47624,0.0,0.0,0.24397,0.314036,5.05755,2.858,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
WECSAZ_CoRE,WECSAZ,CoRE,Real,Crystallographic properties,1.58691,0.0,0.0,0.384169,0.314516,4.7957,2.85788,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
YOCMAF_CoRE,YOCMAF,CoRE,Real,Crystallographic properties,2.2401,0.0,0.0,0.122745,0.197493,3.35521,2.8578,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
LEPLEZ_CoRE,LEPLEZ,CoRE,Real,Crystallographic properties,2.15638,0.0,0.0,0.120191,0.204226,3.3571,2.85638,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
MUCLOM_CoRE,MUCLOM,CoRE,Real,Crystallographic properties,0.827407,0.0,0.0,0.526335,0.69527,10.2217,2.85574,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
MECLEL_CoRE,MECLEL,CoRE,Real,Crystallographic properties,1.72822,0.0,0.0,0.738084,0.282407,6.56223,2.85573,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
CDLGLU12_CoRE,CDLGLU12,CoRE,Real,Crystallographic properties,1.88548,0.0,0.0,0.148887,0.239832,3.40713,2.85499,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
GOJRED_CoRE,GOJRED,CoRE,Real,Crystallographic properties,1.25142,0.0,0.0,0.344043,0.35347,7.79089,2.85498,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
MIHBAG_CoRE,MIHBAG,CoRE,Real,Crystallographic properties,1.28353,0.0,0.0,0.327014,0.380068,4.75314,2.85433,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ITIBET_CoRE,ITIBET,CoRE,Real,Crystallographic properties,2.48592,0.0,0.0,0.228431,0.16976,4.61324,2.8532,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
GEGSIW_CoRE,GEGSIW,CoRE,Real,Crystallographic properties,1.08118,0.0,0.0,0.5267,0.50584,7.85146,2.85269,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
COYTUG_CoRE,COYTUG,CoRE,Real,Crystallographic properties,1.889,0.0,0.0,0.305626,0.242165,4.85681,2.85255,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
REYNUG_CoRE,REYNUG,CoRE,Real,Crystallographic properties,1.8818,0.0,0.0,0.0393017,0.185621,3.09434,2.85113,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
NUXMAU_CoRE,NUXMAU,CoRE,Real,Crystallographic properties,2.10391,0.0,0.0,0.276965,0.216221,3.84897,2.85025,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
WAHREE_CoRE,WAHREE,CoRE,Real,Crystallographic properties,1.60709,0.0,0.0,0.137519,0.240578,4.96921,2.85009,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
EJEFOP_CoRE,EJEFOP,CoRE,Real,Crystallographic properties,1.60769,0.0,0.0,0.178848,0.25035,4.0642,2.84987,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
NIGHOA_CoRE,NIGHOA,CoRE,Real,Crystallographic properties,1.47773,0.0,0.0,0.0912439,0.270599,3.71107,2.8497,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
ELOFIU_CoRE,ELOFIU,CoRE,Real,Crystallographic properties,1.18633,0.0,0.0,0.136131,0.41439,3.5523,2.84877,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KEHGOV_CoRE,KEHGOV,CoRE,Real,Crystallographic properties,1.5991,0.0,0.0,0.160902,0.27329,3.60734,2.84874,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
XEHTUB_CoRE,XEHTUB,CoRE,Real,Crystallographic properties,2.39414,0.0,0.0,0.148482,0.147466,3.58584,2.84872,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
JODGEP_CoRE,JODGEP,CoRE,Real,Crystallographic properties,2.16342,0.0,0.0,0.22284,0.220107,4.14327,2.84828,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
XUBJAF02_CoRE,XUBJAF02,CoRE,Real,Crystallographic properties,2.19167,0.0,0.0,0.115814,0.198917,3.3381,2.84813,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
WEBZEK_CoRE,WEBZEK,CoRE,Real,Crystallographic properties,1.28574,0.0,0.0,0.20184,0.364356,4.4193,2.84803,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PIKBUH_CoRE,PIKBUH,CoRE,Real,Crystallographic properties,1.97564,0.0,0.0,0.0889814,0.163162,4.01814,2.84803,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PEKVAE_CoRE,PEKVAE,CoRE,Real,Crystallographic properties,1.29815,0.0,0.0,0.214794,0.331828,4.09823,2.84785,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KIXKOS_CoRE,KIXKOS,CoRE,Real,Crystallographic properties,1.42721,0.0,0.0,0.38186,0.326162,8.14141,2.84709,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
