name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
WIKXUJ_CoRE,WIKXUJ,CoRE,Real,Grand Canonical Monte Carlo,1.21,313.5,377.9,0.2,0.36,5.9,4.88,1.2,14.69,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
BIBBUL_CoRE,BIBBUL,CoRE,Real,Grand Canonical Monte Carlo,1.32,0.0,0.0,0.15,0.32,3.86,3.32,1.1,14.68,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
KEHGOV_CoRE,KEHGOV,CoRE,Real,Grand Canonical Monte Carlo,1.6,0.0,0.0,0.16,0.27,3.61,2.85,0.91,14.68,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
QAVZAQ_CoRE,QAVZAQ,CoRE,Real,Grand Canonical Monte Carlo,1.88,0.0,0.0,0.15,0.22,3.43,2.66,0.77,14.68,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
WEMXIX_CoRE,WEMXIX,CoRE,Real,Grand Canonical Monte Carlo,1.51,286.71,433.69,0.44,0.29,6.24,5.68,0.96,14.68,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
OJAKOA_CoRE,OJAKOA,CoRE,Real,Grand Canonical Monte Carlo,1.73,0.0,0.0,0.19,0.22,4.14,3.37,0.84,14.67,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
QAVYUJ_CoRE,QAVYUJ,CoRE,Real,Grand Canonical Monte Carlo,1.83,0.0,0.0,0.16,0.23,3.5,2.63,0.79,14.67,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
TAPXIT01_CoRE,TAPXIT01,CoRE,Real,Grand Canonical Monte Carlo,1.58,261.4,412.6,0.22,0.26,5.77,5.41,0.92,14.67,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
CAHSOU_CoRE,CAHSOU,CoRE,Real,Grand Canonical Monte Carlo,2.29,0.0,0.0,0.18,0.16,4.04,2.78,0.63,14.66,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
EDAGAT_CoRE,EDAGAT,CoRE,Real,Grand Canonical Monte Carlo,1.85,0.0,0.0,0.25,0.24,4.66,3.62,0.78,14.65,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
QUSBEM_CoRE,QUSBEM,CoRE,Real,Grand Canonical Monte Carlo,1.41,0.0,0.0,0.21,0.32,4.28,2.66,1.03,14.65,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
CAYSIE_CoRE,CAYSIE,CoRE,Real,Grand Canonical Monte Carlo,1.17,484.0,565.2,0.24,0.4,7.01,4.99,1.23,14.64,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PEVXAQ_CoRE,PEVXAQ,CoRE,Real,Grand Canonical Monte Carlo,1.21,0.0,0.0,0.26,0.39,5.0,3.64,1.19,14.64,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
REHJEV_CoRE,REHJEV,CoRE,Real,Grand Canonical Monte Carlo,1.42,0.0,0.0,0.28,0.32,5.93,3.7,1.02,14.64,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
RIYDEJ_CoRE,RIYDEJ,CoRE,Real,Grand Canonical Monte Carlo,1.3,0.0,0.0,0.18,0.3,3.65,2.52,1.11,14.63,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
EBANAY_CoRE,EBANAY,CoRE,Real,Grand Canonical Monte Carlo,1.92,0.0,0.0,0.19,0.19,3.59,3.19,0.75,14.62,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
ISACIP_CoRE,ISACIP,CoRE,Real,Grand Canonical Monte Carlo,1.76,0.0,0.0,0.28,0.23,4.48,3.33,0.82,14.61,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PENZUE_CoRE,PENZUE,CoRE,Real,Grand Canonical Monte Carlo,1.64,0.0,0.0,0.15,0.26,3.89,3.09,0.88,14.6,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PUQHEP_CoRE,PUQHEP,CoRE,Real,Grand Canonical Monte Carlo,1.46,0.0,0.0,0.21,0.29,4.24,2.87,0.99,14.6,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
