Name,CSD Refcode,Database_Acronym,Generic Identity,Calculation Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal Structure File Type,Crystal Structure Availability,matched_not_open_in_col
COTYIV_clean,COTYIV,CoRE 2019,Real,Machine Learning,0.968257,1961.09,1898.84,0.697,0.71985,9.63817,7.84231,DOI: 10.5281/zenodo.3529563,CIF (P1 Symmetry),Open Source,
NAQQON_clean,NAQQON,CoRE 2019,Real,Machine Learning,1.01182,2255.9,2282.57,0.7134,0.705063,9.07609,4.33235,DOI: 10.5281/zenodo.3534515,CIF (P1 Symmetry),Open Source,
WUYXOF_clean,WUYXOF,CoRE 2019,Real,Machine Learning,0.759045,2612.77,1983.21,0.6628,0.873203,9.05505,5.17643,DOI: 10.5281/zenodo.3538900,CIF (P1 Symmetry),Open Source,
GUPDEB_CoRE,GUPDEB,CoRE,Real,Crystallographic properties,0.945467,1550.58,1466.02,0.650331,0.751827,20.68684,7.65386,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ESIYEM_clean,ESIYEM,CoRE 2019,Real,Machine Learning,0.917255,2296.01,2106.03,0.6834,0.745049,8.80669,5.99648,DOI: 10.5281/zenodo.3530540,CIF (P1 Symmetry),Open Source,
KOSJIN_clean,KOSJIN,CoRE 2019,Real,Machine Learning,1.18637,1316.25,1561.55,0.6378,0.537607,11.01144,9.80964,DOI: 10.5281/zenodo.3533327,CIF (P1 Symmetry),Open Source,
VALXAK_clean,VALXAK,CoRE 2019,Real,Machine Learning,0.742505,2003.86,1487.88,0.69,0.929286,9.98876,6.23965,DOI: 10.5281/zenodo.3538019,CIF (P1 Symmetry),Open Source,
FEFCUQ_CoRE,FEFCUQ,CoRE,Real,Crystallographic properties,0.77796,2413.44,1877.56,0.700622,0.871106,8.87571,6.35025,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
NAMDUD_clean,NAMDUD,CoRE 2019,Real,Machine Learning,0.771409,2332.52,1799.33,0.674,0.873726,16.03482,3.9849,DOI: 10.5281/zenodo.3534495,CIF (P1 Symmetry),Open Source,
YARXEX_clean,YARXEX,CoRE 2019,Real,Machine Learning,0.988783,1435.87,1419.77,0.712,0.720077,15.39876,13.65401,DOI: 10.5281/zenodo.3542286,CIF (P1 Symmetry),Open Source,
RUKDUY_clean,RUKDUY,CoRE 2019,Real,Machine Learning,1.23419,1895.37,2339.24,0.701,0.567985,15.58082,4.37686,DOI: 10.5281/zenodo.3541660,CIF (P1 Symmetry),Open Source,
QUPZAE01_clean,QUPZAE01,CoRE 2019,Real,Machine Learning,0.773596,2381.75,1842.51,0.6824,0.882114,8.49323,8.13977,DOI: 10.5281/zenodo.3536227,CIF (P1 Symmetry),Open Source,
DADKOL_clean,DADKOL,CoRE 2019,Real,Machine Learning,0.919899,2035.03,1872.02,0.6832,0.74269,9.5833,6.771,DOI: 10.5281/zenodo.3529738,CIF (P1 Symmetry),Open Source,
PAPYOW_CoRE,PAPYOW,CoRE,Real,Crystallographic properties,1.13114,2254.6,2550.27,0.629729,0.643887,7.55656,5.84534,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
NAQQUT_clean,NAQQUT,CoRE 2019,Real,Machine Learning,1.00423,2246.85,2256.36,0.7102,0.707207,9.01357,4.32605,DOI: 10.5281/zenodo.3534516,CIF (P1 Symmetry),Open Source,
UCOHUR_clean,UCOHUR,CoRE 2019,Real,Machine Learning,1.21949,1717.98,2095.07,0.6692,0.548752,8.1734,7.22847,DOI: 10.5281/zenodo.3537548,CIF (P1 Symmetry),Open Source,
RIFLUP_clean,RIFLUP,CoRE 2019,Real,Machine Learning,0.825504,2056.19,1697.39,0.6562,0.794908,11.52194,10.06588,DOI: 10.5281/zenodo.3536471,CIF (P1 Symmetry),Open Source,
LIKGUJ_clean,LIKGUJ,CoRE 2019,Real,Machine Learning,1.03126,1824.95,1881.99,0.6824,0.661717,13.55589,7.04166,DOI: 10.5281/zenodo.3533710,CIF (P1 Symmetry),Open Source,
WORKOF_clean,WORKOF,CoRE 2019,Real,Machine Learning,0.930964,2195.55,2043.98,0.6752,0.725269,9.81174,6.0117,DOI: 10.5281/zenodo.3538792,CIF (P1 Symmetry),Open Source,
EBEXIV_clean,EBEXIV,CoRE 2019,Real,Machine Learning,1.16803,1345.33,1571.39,0.7296,0.624642,12.47272,11.70082,DOI: 10.5281/zenodo.3540388,CIF (P1 Symmetry),Open Source,
MEFZUU_CoRE,MEFZUU,CoRE,Real,Crystallographic properties,0.843227,2307.16,1945.46,0.677171,0.805427,9.38956,5.60914,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
PIBXUV_clean,PIBXUV,CoRE 2019,Real,Machine Learning,0.834748,2558.29,2135.53,0.6918,0.828754,8.38892,5.2373,DOI: 10.5281/zenodo.3535622,CIF (P1 Symmetry),Open Source,
SOPLOA_clean,SOPLOA,CoRE 2019,Real,Machine Learning,0.790491,2605.68,2059.77,0.6598,0.834671,8.29809,6.85068,DOI: 10.5281/zenodo.3537030,CIF (P1 Symmetry),Open Source,
TUYHUR_clean,TUYHUR,CoRE 2019,Real,Machine Learning,1.00323,2251.06,2258.33,0.7092,0.706918,9.01467,4.33972,DOI: 10.5281/zenodo.3537522,CIF (P1 Symmetry),Open Source,
RAGREY_CoRE,RAGREY,CoRE,Real,Crystallographic properties,0.727942,2080.21,1514.27,0.652074,0.935109,6.91275,6.07316,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ARAFEF_clean,ARAFEF,CoRE 2019,Real,Machine Learning,0.837745,2222.3,1861.72,0.6918,0.825789,8.89536,8.62816,DOI: 10.5281/zenodo.3528562,CIF (P1 Symmetry),Open Source,
ZEVXAB_clean,ZEVXAB,CoRE 2019,Real,Machine Learning,0.729711,2637.82,1924.84,0.6412,0.878704,8.31732,6.45797,DOI: 10.5281/zenodo.3539906,CIF (P1 Symmetry),Open Source,
