MOF,overall_rank,mean_norm_rank,Density,GSA,VSA,VF,PV,LCD,PLD,ML_Predicted_PS_UG_RF,ML_Predicted_PS_UV_RF,ML_Predicted_TPS_UG_RF,ML_Predicted_TPS_UV_RF
VAGMAT,1,0.9953218851070383,0.364732,5202.74,1897.6,0.893672,2.3332,14.92091,13.26277,8.496083333333333,36.47641120851372,12.100509999999932,50.18430519047628
XAFFAN,2,0.9950523640843987,0.365184,5181.08,1892.05,0.893631,2.32889,14.91256,13.24304,8.31334999999998,36.412005515873,11.855303333333307,50.1929685238096
XAFFIV,3,0.994513322039119,0.358398,5328.69,1909.79,0.889989,2.36343,14.22916,13.19368,8.533766666666658,36.57491336459839,12.062476666666585,49.792381428571524
