MOF,MOF_norm,dataset_refcode,dataset_name,UG_TPS_mine,UV_TPS_mine,UG_TPS_hymarc,UV_TPS_hymarc,UG_TPS_delta,UV_TPS_delta,UG_TPS_pct_err,UV_TPS_pct_err,status
CAXPIC,CAXPIC,CAXPIC,CAXPIC_CoRE,0.176165,3.326614,0.150000,2.750000,0.026165,0.576614,17.443,20.968,OK
ECOTOG,ECOTOG,ECOTOG,ECOTOG_CoRE,0.004424,0.081165,0.000000,0.020000,0.004424,0.061165,,305.825,OK
VAGMAT,VAGMAT,VAGMAT,VAGMAT_CoRE,,,12.150000,50.270000,,,,,OK
XAFFAN,XAFFAN,,,16.798910,61.349098,,,,,,,NO_HYMARC_VALUE
XAFFIV,XAFFIV,,,17.003783,60.940581,,,,,,,NO_HYMARC_VALUE
XUJCUB,XUJCUB,,,0.000000,0.000000,,,,,,,NO_HYMARC_VALUE
