MOF,overall_rank,ML_Predicted_PS_UG_RF,ML_Predicted_PS_UV_RF,ML_Predicted_TPS_UG_RF,ML_Predicted_TPS_UV_RF,GCMC_UG_PS,GCMC_UV_PS,GCMC_UG_TPS,GCMC_UV_TPS,benchmark_status,benchmark_note
VAGMAT,1,8.496083333333333,36.47641120851372,12.100509999999932,50.18430519047628,12.501160,45.597289,16.864634,61.512820,Benchmark available,Selected by ML; benchmarkable against HyMARC overlap
XAFFAN,2,8.31334999999998,36.412005515873,11.855303333333307,50.1929685238096,12.461176,45.507827,16.798910,61.349098,HyMARC N/A,Selected by ML; validated using own GCMC
XAFFIV,3,8.533766666666658,36.57491336459839,12.062476666666585,49.792381428571524,12.754280,45.710605,17.003783,60.940581,HyMARC N/A,Selected by ML; validated using own GCMC
