MOF,MOF_norm,dataset_refcode,dataset_name,UG_PS_mine,UV_PS_mine,UG_PS_hymarc,UV_PS_hymarc,UG_PS_delta,UV_PS_delta,UG_PS_pct_err,UV_PS_pct_err,status
CAXPIC,CAXPIC,CAXPIC,CAXPIC_CoRE,0.033990,0.641860,0.010000,0.120000,0.023990,0.521860,239.900,434.883,OK
ECOTOG,ECOTOG,ECOTOG,ECOTOG_CoRE,0.004199,0.077042,0.000000,0.020000,0.004199,0.057042,,285.210,OK
VAGMAT,VAGMAT,VAGMAT,VAGMAT_CoRE,,,8.500000,36.510000,,,,,OK
XAFFAN,XAFFAN,,,12.461176,45.507827,,,,,,,NO_HYMARC_VALUE
XAFFIV,XAFFIV,,,12.754280,45.710605,,,,,,,NO_HYMARC_VALUE
XUJCUB,XUJCUB,,,0.000000,0.000000,,,,,,,NO_HYMARC_VALUE
