MOF,rho_crystal_kgm3,rho_crystal_gcm3,UV_PS_crystal_gL,UV_TPS_crystal_gL,UV_PS_bulk_0.3gcm3_gL,UV_TPS_bulk_0.3gcm3_gL,UV_PS_bulk_0.5gcm3_gL,UV_TPS_bulk_0.5gcm3_gL,UV_PS_bulk_0.7gcm3_gL,UV_TPS_bulk_0.7gcm3_gL
CAXPIC,1888.356289,1.888356,0.641860,3.326614,0.101971,0.528494,0.169952,0.880823,0.237933,1.233152
ECOTOG,1834.748129,1.834748,0.077042,0.081165,0.012597,0.013271,0.020995,0.022119,0.029393,0.030966
VAGMAT,364.744465,0.364744,,,,,,,,
XAFFAN,365.196889,0.365197,45.507827,61.349098,37.383528,50.396731,62.305880,83.994552,87.228232,117.592373
XAFFIV,358.394255,0.358394,45.710605,60.940581,38.262839,51.011349,63.771398,85.018914,89.279957,119.026480
XUJCUB,1898.537293,1.898537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
