task,n,model_path,kendall_median,kendall_lo,kendall_hi,kendall_perm_p,p3,p3_lo,p3_hi,p5,p5_lo,p5_hi,p10,p10_lo,p10_hi,label
PS_UG,5041,final_rf_PS_UG.joblib,0.959052131790106,0.9570343939559706,0.9609958688651474,0.000999000999000999,1.0,0.6666666666666666,1.0,1.0,0.6,1.0,0.9,0.7,1.0,
PS_UV,5041,final_rf_PS_UV.joblib,0.9462174822472945,0.9437814118875661,0.948467983622369,0.000999000999000999,0.3333333333333333,0.0,1.0,0.4,0.0,0.8,0.7,0.3,0.9,
TPS_UG,5041,final_rf_TPS_UG.joblib,0.9794409450431696,0.9783514916450695,0.9806201610155623,0.000999000999000999,1.0,0.3333333333333333,1.0,1.0,0.8,1.0,1.0,0.8,1.0,
TPS_UV,5041,final_rf_TPS_UV.joblib,0.9683403522068076,0.9669567392405535,0.9697564569415552,0.000999000999000999,0.6666666666666666,0.3333333333333333,1.0,0.8,0.4,1.0,0.8,0.5,1.0,
,5038,,0.9655847507891682,0.9639214939020896,0.9672475866165797,0.000999000999000999,0.6666666666666666,0.0,1.0,0.8,0.4,1.0,0.9,0.7,1.0,COMPOSITE
