Name ,CSD refc. ,DB Acr. ,GT ,Calc. Type ,Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS ,Source ,CSFT ,CSA 
WAMRIN_CoRE,WAMRIN,CoRE,Real,Grand Canonical Monte Carlo,0.95,1430.3,1348.3,0.62,0.62,7.21,6.51,0.59,6.0,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GELVEZ01_CoRE,GELVEZ01,CoRE,Real,Grand Canonical Monte Carlo,1.44,0.0,0.0,0.23,0.34,3.83,2.56,0.41,5.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MAFZIE_CoRE,MAFZIE,CoRE,Real,Grand Canonical Monte Carlo,1.25,897.9,1125.4,0.45,0.45,6.32,3.81,0.46,5.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MALYOP_CoRE,MALYOP,CoRE,Real,Grand Canonical Monte Carlo,0.93,1252.4,1161.3,0.47,0.63,5.98,4.45,0.61,5.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
WEMNAF_CoRE,WEMNAF,CoRE,Real,Grand Canonical Monte Carlo,1.42,357.6,507.2,0.37,0.34,4.63,3.86,0.41,5.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
FIFNUE_CoRE,FIFNUE,CoRE,Real,Grand Canonical Monte Carlo,1.02,924.4,940.1,0.47,0.55,4.79,3.93,0.55,5.98,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
UKUCAF_CoRE,UKUCAF,CoRE,Real,Grand Canonical Monte Carlo,1.06,984.6,1040.4,0.52,0.5,7.21,4.43,0.54,5.98,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
FATKES_CoRE,FATKES,CoRE,Real,Grand Canonical Monte Carlo,1.83,0.0,0.0,0.32,0.26,4.82,3.71,0.32,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GIHPAQ_CoRE,GIHPAQ,CoRE,Real,Grand Canonical Monte Carlo,1.37,0.0,0.0,0.4,0.38,6.07,3.21,0.42,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HOGSIG_CoRE,HOGSIG,CoRE,Real,Grand Canonical Monte Carlo,1.2,654.6,784.4,0.37,0.44,5.41,3.95,0.48,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IHIWIF_CoRE,IHIWIF,CoRE,Real,Grand Canonical Monte Carlo,2.07,0.0,0.0,0.24,0.21,4.72,2.56,0.28,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
